names,01 IT-ET Glut,02 NP-CT-L6b Glut,03 OB-CR Glut,04 DG-IMN Glut,05 OB-IMN GABA,06 CTX-CGE GABA,07 CTX-MGE GABA,08 CNU-MGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,15 HY Gnrh1 Glut,16 HY MM Glut,17 MH-LH Glut,18 TH Glut,19 MB Glut,20 MB GABA,21 MB Dopa,22 MB-HB Sero,23 P Glut,24 MY Glut,25 Pineal Glut,26 P GABA,27 MY GABA,28 CB GABA,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
Bhlhe22,2.146334,-1.6358848,1.3927026,3.3881047,-7.043993,-2.5234694,-4.098064,-3.459498,-6.6115613,-3.392039,-3.8448718,-2.9775405,-1.6095762,-1.7058302,-27.482187,-7.6238546,-4.1656785,-1.3060884,-1.681949,-2.7683408,-4.5325313,-2.679355,-0.6378031,-2.1694229,-7.189108,-0.44847664,0.6229934,4.2012577,0.29132926,-3.962997,-2.9272325,-1.3626873,-1.6192561,-3.4666765
Bhlhe40,1.7048986,-1.6150064,-1.1644317,-0.35196438,-1.3018372,-2.2916095,-2.3340878,-1.7195928,-0.91466236,-0.18103637,-0.2655122,-0.7535925,0.6897348,-0.63191676,-0.47196272,-0.02711087,-1.085358,1.1479162,-0.17554194,-0.7819625,-1.7674326,-1.2605045,-0.49317864,-0.08337296,-2.403149,-1.5157039,-1.1250762,0.3499732,-1.245417,0.65293,-1.8121022,-0.6556355,0.038243007,-2.9710178
Btbd11,-3.6843553,-4.6539774,-0.050984524,-4.7181897,-2.7289534,2.2742023,2.6264355,1.4385362,-2.4908707,0.18677744,1.5977619,2.0726168,1.2912201,2.0196524,-2.0131652,2.2428985,2.1143866,2.3813517,2.1846998,1.940858,1.4910272,2.740305,2.155365,2.013554,-1.6953303,1.9309056,1.9738113,3.2416732,-0.48820218,-1.9411623,-1.9455174,1.9806432,-1.8531247,-3.636694
Cabp7,0.05984966,1.0911243,-0.011851908,2.3452342,-4.3584285,-3.8287125,-0.9454334,0.5467198,-0.6149904,-2.062262,-0.5637131,-0.03526316,0.40519357,0.44081074,-5.573503,-4.292035,0.06104322,-3.014622,2.0043085,0.8052212,-0.88540953,-0.7609098,2.7359598,1.9933358,-2.5794423,0.58218336,2.9577222,-1.4289192,-2.618793,-1.6867096,-1.7600223,-6.018936,-1.9103354,-1.6965086
Cacna2d2,-2.986053,-2.1103728,3.4290462,-5.6949706,-1.7669615,-2.3545065,2.2465181,2.5324104,1.0145493,3.7007494,2.1854181,2.4413378,1.409018,1.5629379,3.0023181,2.502385,2.594156,0.42616138,1.8392291,2.4274845,1.9605472,2.076605,2.0860689,2.3000813,1.8892305,2.4557345,2.8431761,1.2330822,0.21651839,0.17640315,-2.1724937,-5.0300536,-3.9984574,-3.9253838
Calb1,1.0916705,-3.6235645,-2.3824818,2.5723627,-4.874667,-1.8949083,2.25107,-0.06471069,1.0943456,0.2738174,1.3728195,0.42614684,0.8925818,1.8114953,0.5467773,3.5343447,0.0018592868,2.2800815,0.264151,-2.2101007,2.5427964,-0.32066,-0.32621506,0.528231,-1.7738208,-1.9209418,-1.5328552,-4.319061,-3.1588466,-3.1766331,-3.7205565,-5.9808655,-3.4967175,-2.9296348
Calb2,-3.5677166,-5.1968513,2.335238,-3.5167944,1.1317925,1.1721627,-1.3587584,0.42779124,-3.97824,-0.52697957,1.1736567,1.0704478,2.5205636,2.6246834,-1.9152575,-1.1537023,2.4482532,2.492037,2.426762,1.0604105,3.170001,1.3277543,2.6296573,1.3408546,-0.63516796,1.8408368,0.14407896,-2.3578715,3.6242177,-2.6854,-1.6744223,-1.2584711,-3.071788,-3.084448
Car4,0.9231728,-2.8737183,-4.265047,-0.086280234,-2.5170054,1.0659069,-2.3683515,-2.920221,-4.6789265,-2.46714,-2.556025,-4.73269,-2.682101,-4.606809,-27.193878,-5.7150216,-3.085809,0.82057154,-5.419836,-5.1392317,-3.6483483,-6.1425576,-3.9909356,-5.6233473,-3.3171222,-5.349615,-5.2953243,-3.7716048,2.8082056,-3.872699,-4.4576516,-4.9402885,4.0064025,-3.3181057
Carmn,-4.0503173,-3.2161186,-2.4801605,-6.753691,-6.2763286,-6.5540476,-6.1467533,-6.406663,-7.05713,-2.8282776,-5.438422,-5.1082277,-3.8871908,-4.062663,-23.82204,-6.6336956,-9.335684,-6.4241495,-6.0736895,-5.7563105,-3.1231792,-5.7177696,-2.4876513,-4.4386888,-2.525795,-6.272709,-5.9036555,-23.840387,-7.2339754,-3.5085652,-6.0144043,-0.5822781,9.353341,-4.816781
Cbln1,-0.86095107,-2.2866187,0.4906684,-6.7291827,-4.864246,-5.3494434,-5.0809717,-3.330361,-3.29625,-2.4861503,-1.5010861,-1.210855,0.022925274,2.1052506,-1.0205908,2.5013597,1.8757848,2.0190258,-0.58997184,-2.5465777,1.7970511,0.20159632,1.386427,2.3316405,2.4772706,-2.1704898,-0.40667075,-1.3105291,5.9946065,-4.3269176,-2.4741013,-7.2032576,-4.2815495,-4.5356174
