names,01 IT-ET Glut,02 NP-CT-L6b Glut,03 OB-CR Glut,04 DG-IMN Glut,05 OB-IMN GABA,06 CTX-CGE GABA,07 CTX-MGE GABA,08 CNU-MGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,15 HY Gnrh1 Glut,16 HY MM Glut,17 MH-LH Glut,18 TH Glut,19 MB Glut,20 MB GABA,21 MB Dopa,22 MB-HB Sero,23 P Glut,24 MY Glut,25 Pineal Glut,26 P GABA,27 MY GABA,28 CB GABA,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
Arhgap25,10.301935,396.55573,-9.003587,-37.7678,-44.995308,-47.680794,-43.805237,-17.885689,-41.643955,44.972576,-36.808887,-40.77049,-27.79331,-34.75413,-1.9011189,-15.799838,-14.076797,-46.07445,-46.634533,-38.603218,-8.414358,-6.316176,-20.659931,-21.340536,-3.0054,-18.649677,-24.194773,-30.227806,-52.03201,-75.47172,-105.429565,-4.574634,5.877551,265.73294
Arhgap6,-58.729366,-143.19841,-15.886926,-64.7206,-52.83486,9.187654,81.19796,4.0798397,305.71585,227.44354,242.96289,150.022,109.229095,80.9209,-3.350869,-15.882038,-24.755201,-64.62946,78.77891,61.96058,71.939476,1.5534313,30.788004,78.35007,-6.1186957,-3.6994264,30.35247,-52.14491,-104.09646,-135.63348,-179.81767,17.062145,165.70682,-80.76663
Arhgef28,-134.73831,-48.670284,-33.76693,47.25052,-205.7876,43.28213,-140.67903,-28.969057,-135.68207,7.294927,51.866062,-18.682608,86.22961,46.424564,-7.600877,-53.93254,-6.327458,-22.285103,19.794016,-64.52551,37.483124,16.943691,33.18195,26.393633,-8.778093,28.149261,21.649843,-131.00668,-239.01532,40.27438,623.82074,-18.764523,-72.711105,-187.46132
Bcl11b,16.294586,653.4794,-1.0460739,392.9342,176.66888,89.17824,189.06613,131.78458,464.74866,39.613728,47.760494,-125.54185,-11.052736,-77.76213,-7.677404,-68.74723,-31.043653,-171.2704,31.998907,-70.881454,-25.458769,10.3093195,3.0377502,-22.738615,-13.286488,-52.1642,-20.479721,-136.81674,-186.484,-320.5339,-402.2701,-18.463427,-208.52527,-162.58727
Bdnf,738.14734,-72.330894,-24.298689,126.66944,-110.21915,-162.61531,-133.40591,-61.131657,-163.31882,-74.16615,-117.74473,-128.53612,66.94546,39.06218,-6.622272,124.65014,-34.048237,66.291626,145.06137,-43.731525,36.470173,-9.952117,72.24955,49.0404,-10.054172,-9.766227,-57.430916,27.326715,22.077168,-235.3386,-367.9661,-16.122747,-176.06699,-142.51035
Bhlhe22,529.828,-109.291824,17.768867,298.71512,-107.998985,-93.158714,-104.12417,-37.55638,-110.41511,-47.687263,-82.01927,-83.93147,-37.683468,-50.627365,-4.529116,-38.029057,-29.114962,-34.41094,-60.07125,-73.15526,-18.767656,-10.568152,-3.2479134,-34.27143,-7.2849007,-1.7932652,38.586727,353.13245,9.819747,-175.18987,-212.49484,-6.1385465,-86.71703,-93.07494
Bhlhe40,553.16956,-197.39212,-20.23106,-43.06692,-118.48653,-163.12833,-151.51816,-38.719,-34.325314,8.954605,14.14995,-48.71392,75.51296,-26.15559,-0.71849173,15.3441725,-24.478174,203.80147,33.552105,-25.405514,-10.65637,-7.0742145,6.8020945,26.015518,-11.660708,-31.013393,-24.384703,66.716,-129.81776,75.86393,-325.9357,-7.5903506,-20.34195,-170.39569
Btbd11,-457.9251,-243.16895,-3.7890348,-125.69963,-121.469315,330.82254,333.19354,104.731514,-101.44539,37.4881,205.62076,252.68944,125.847466,222.91272,-3.8981206,120.40328,105.284546,370.49298,355.22958,265.806,56.500217,62.72519,168.16278,163.14911,-7.398421,142.54106,182.20451,316.89572,-44.914566,-184.87418,-228.2447,22.079454,-120.49418,-127.97414
Cabp7,10.0527,69.01579,-2.339442,88.68301,-44.249092,-47.548466,-16.084621,22.87112,-20.43297,-16.606081,-1.6141741,1.7171612,13.322616,17.296722,-1.8199024,-15.118683,10.397524,-38.97106,138.22046,54.466103,3.8348057,0.8882602,76.74147,65.53992,-2.6717658,25.754704,140.52742,-18.461796,-46.20832,-62.97876,-79.4079,-4.6614323,-43.06122,-35.500637
Cacna2d2,-465.8192,-186.98204,64.31031,-148.18405,-117.77377,-129.37137,333.11276,158.64719,197.45633,267.93515,275.60864,307.48,133.27536,185.80057,17.879095,137.28735,128.69754,120.596756,326.1713,326.65576,70.64784,54.86799,174.07716,190.09604,10.866381,173.9268,240.22528,132.12228,27.168674,5.608139,-280.7264,-16.707836,-180.46034,-148.45557
Calb1,352.249,-231.59258,-25.4461,269.68466,-151.90405,-119.61331,237.22476,4.732417,159.83362,9.100057,153.65419,46.536354,82.14213,164.51999,5.588309,152.76942,6.7147937,310.9102,38.77138,-91.166695,64.591286,3.5554566,-1.3043368,32.903156,-7.8400326,-40.15604,-41.846153,-98.43706,-154.41652,-236.94086,-336.64923,-15.797708,-159.77533,-125.89003
Calb2,-282.73492,-151.43752,37.179607,-72.43588,39.28952,84.06351,-43.592552,33.43807,-81.50786,-0.76664644,131.78078,102.82045,177.45966,218.22604,-2.0143297,-6.747746,80.26334,214.16171,254.95404,109.29226,80.63236,23.128574,132.94917,60.58873,-2.7735014,78.65728,22.501453,-38.032627,385.0388,-126.87689,-110.32131,-3.7692943,-87.91672,-74.02929
Car4,271.60272,-119.284454,-17.531376,0.614541,-72.32376,115.089775,-62.110153,-28.77172,-84.819115,-29.698116,-50.044006,-76.973274,-41.956635,-64.97609,-3.7291317,-30.638176,-20.850594,96.00774,-89.94106,-73.52804,-13.542274,-12.966652,-36.430954,-41.75094,-5.633436,-35.57807,-46.45669,-52.317932,282.5712,-143.78555,-201.35416,-8.721747,337.73346,-75.76221
Carmn,-15.035906,-6.2434077,-0.55374104,-4.891259,-5.489847,-6.1955013,-5.723414,-2.2309208,-5.648281,-1.0162678,-4.428144,-4.756129,-2.9008276,-3.5210688,-0.23538823,-1.9256479,-1.7533219,-5.4959135,-5.5956388,-4.576888,-0.22737053,-0.7423151,0.30444562,-2.1752512,-0.30541733,-2.2439015,-2.8844278,-3.866185,-6.4331684,-8.252308,-13.114081,0.19444227,152.52129,-4.9957767
Cbln1,-21.86989,-67.54359,4.7566543,-56.355553,-61.48226,-70.083916,-64.81224,-19.82961,-51.3352,-19.00352,-21.260572,-15.623969,10.92988,131.01291,0.022539113,113.26459,53.884228,146.51038,7.587424,-35.914387,34.576645,14.176576,52.734802,113.421165,9.420604,-11.682681,22.994995,-5.548936,596.2357,-104.94852,-110.608604,-6.448719,-68.69604,-57.166805
Cbln4,300.70856,-123.28537,1.2338256,-75.09776,-85.28763,-38.2101,-22.308731,22.061533,-37.528217,-7.3352585,72.71386,70.28271,16.351543,67.84731,3.6757863,-22.844856,58.73812,50.516926,123.26057,112.418526,30.834846,50.05951,61.576588,40.449036,-4.7976594,41.296455,43.27115,-58.344444,-93.57183,-142.53941,-191.1775,-8.547539,-92.843956,-75.76071
Ccn2,-31.122932,136.88039,15.122419,-16.441854,-12.1078825,-9.376122,-6.6782684,-5.023612,-16.640846,-6.3332896,-12.303685,-9.971312,-7.5164924,-11.355438,-0.6659406,-6.5946636,-5.080013,-2.0733662,-5.087394,-11.23746,0.2788513,-0.9926685,0.3314182,4.2962875,-1.280866,-4.5896025,8.975751,-8.953303,-21.00819,-26.929377,-40.98425,-1.5569414,131.62166,-14.135878
Cd24a,-41.433273,11.806324,14.523906,-15.106582,52.417645,81.09113,-13.828132,19.85556,-15.202383,27.414629,24.08787,32.24208,1.1201377,28.21226,-1.1886072,-9.281557,-3.6918242,-26.316547,66.60504,46.13219,28.54765,9.888134,16.657183,26.14473,-1.8831288,1.2566549,21.605139,-20.281944,-34.993282,-32.270973,-41.070065,-1.8730602,-6.2362657,-25.419165
Cd300c2,-42.551613,-20.0685,-2.4068387,-10.193219,-11.984563,-13.047314,-4.454733,-4.6794653,-11.592561,-5.823977,-9.91747,-11.094676,-7.527575,-9.599271,-0.39807627,-4.3951964,-3.6224377,-12.545598,-12.827674,-10.512048,-1.9562085,-1.5307467,-5.0683775,-6.0014915,-0.6924152,-5.0400085,-6.729015,-8.488108,-12.950891,-17.450335,-26.547613,-1.1662074,-11.533891,440.73923
Cd44,1.8388696,18.754063,-3.8449972,-19.555677,-21.566133,-21.040722,-1.9795514,1.0116439,-16.613548,0.7890133,6.7806144,-6.1993,4.8882265,2.3062346,-0.7374716,140.94302,-2.5874937,63.188198,1.8433027,-9.585398,20.978247,0.12936077,4.761106,3.0544975,-1.4484278,-1.4797473,-1.8956288,-13.147094,-23.347813,18.371489,-18.64342,1.6350652,-17.006405,-11.444048
Cd53,-40.695686,-21.050797,-2.5547204,-11.340149,-12.789622,-14.062381,-12.39113,-3.2777278,-11.447201,-6.036321,-9.886888,-11.698517,-7.38473,-9.683232,-0.57016444,-4.566834,-2.9785042,-13.358613,-11.351732,-10.40142,-1.9064153,-1.3664939,-4.736424,-6.046145,-0.926223,-4.9754763,-6.8037267,-9.09988,-15.382827,-19.085457,-28.665352,-1.3377472,-12.308029,460.10193
Cd68,4.296817,-1.8000225,-2.4298298,-12.442863,-17.677105,-20.040071,-7.167285,-4.8026395,76.390236,7.6180553,8.674058,-12.259927,-4.3522816,-12.094952,0.74517155,-6.35796,-6.405497,-17.960482,-12.984861,-12.0767565,-2.4176183,-1.7570542,-6.6819777,-7.001219,0.22743227,-6.475065,-8.154322,-12.853903,-24.199583,-29.789948,-39.04783,-1.844594,-17.948381,254.9823
Cd93,-34.603607,-15.181097,-2.1556993,-9.520414,-10.705804,-11.126718,-10.778434,-3.8440228,-10.665291,-4.9589524,-8.849948,-9.687789,-6.5175023,-7.669824,-0.46590748,-3.7967672,-1.6976247,-10.947989,-10.517087,-8.91439,-2.0824287,-1.229199,-4.3237047,-4.700357,-0.60307276,-3.8469067,-5.2964478,-7.584034,-12.611395,-16.439022,-24.61475,-1.1343753,309.12238,-0.59987587
Cdh13,8.68311,-30.27129,-2.0106351,20.34164,-149.79887,30.09149,231.31125,108.21041,129.66496,112.97283,169.91158,180.95915,150.1089,173.1554,-7.9012733,-23.0927,2.7139077,144.82419,242.86919,123.23768,53.273575,46.456257,55.4125,109.49497,-15.327703,80.35723,55.253754,-127.97173,-160.98602,-315.13803,-157.97803,-24.243774,-225.42664,-212.80476
Cdh20,-245.16887,-363.61636,-35.141083,-195.03043,47.65554,90.48884,-131.63747,-7.7868714,-223.67482,-68.33989,-76.66519,-116.07624,-65.98015,-80.490776,-5.484529,-48.485275,-34.077984,-102.79934,-101.239784,-65.26877,20.810076,-27.135868,15.017031,-25.893759,-13.684912,8.830278,-36.2074,-27.501875,-219.34799,647.3739,934.80316,16.71228,-245.13094,-200.85541
Cdh4,50.80252,-222.9832,93.46386,-163.15999,36.84656,27.662273,96.746315,133.75638,121.72019,50.34519,269.82285,147.82979,184.29814,187.79076,8.467393,-24.478132,-35.34367,87.12775,200.65273,177.07826,45.81533,22.768028,69.44311,69.33832,-11.050659,51.77992,96.77739,-54.6664,-24.556662,-68.6018,-346.8593,-17.40703,-155.423,-179.9606
Cdh6,397.24692,113.35874,4.9862623,-191.60263,-135.98766,-108.42092,-190.43881,-47.093742,-15.796626,15.184738,-84.56199,-26.778486,-24.474306,-11.632145,-3.7349157,77.7644,-30.414782,253.11884,79.45808,18.182648,-4.013788,-5.510696,15.530255,44.965538,-13.916763,-9.31919,40.59007,-12.607829,-246.33011,-278.57437,95.1287,-10.136821,-176.95706,-196.09637
Cdh9,98.24159,236.87883,-27.451727,386.01364,-103.99434,-3.199529,244.27928,43.299488,229.31784,-31.896362,78.375755,-5.6700706,65.21713,69.70369,-2.9192567,-10.872733,-21.232838,-135.52469,146.37201,34.543854,36.779068,13.296706,52.043884,65.63888,-9.890803,56.61856,23.301937,-97.70561,-169.81616,-246.56926,-337.19318,-14.780857,-161.91772,-130.90562
Chat,-12.066923,-6.1594987,-0.7382122,-3.2577689,-3.683922,31.557638,-3.7460883,9.950847,9.252217,8.681077,-0.5210949,1.7598536,1.6072229,0.5937473,-0.15766196,-1.2357566,76.119026,-3.3182776,4.93718,-1.2679745,1.0366869,-0.3585804,6.140321,16.347729,-0.17850715,-0.08442247,5.6565824,-2.5125735,-4.2162204,-6.103776,-8.224968,-0.3838699,-4.060932,-3.2975895
Chodl,-29.980648,-16.179544,-1.8756181,-8.228476,-6.5712814,-8.34379,-7.7907515,57.404083,-6.8988314,11.416564,75.34351,58.0707,28.229517,53.909462,7.3627596,6.605606,-1.7291689,-9.329705,22.391161,-0.17478211,-0.90634996,5.0985775,15.994413,22.514278,-0.57239145,4.0918927,5.7620373,-6.524393,-10.911156,-15.363756,-18.84254,1.1001103,-10.3196745,-8.489071
Chrm2,287.55972,-40.705914,-28.11387,-141.23982,264.89313,-161.20895,-25.703949,153.37111,-116.62932,62.79572,26.008675,121.01711,17.646368,72.48608,-6.4179397,-54.001503,-13.684914,170.36308,254.15955,232.91667,-2.095643,18.706032,113.77643,106.83842,-9.828542,90.57546,138.69551,-72.73214,-132.4534,-268.6276,-332.9848,-12.866374,-175.79977,-143.40137
Cldn5,-49.450584,-24.464748,-2.6408412,-12.061033,-14.280302,-16.050196,-14.295307,-5.5223236,-13.036238,-4.9632335,-11.711819,-13.290686,-8.980701,-11.622228,-0.6709089,-5.3797164,-4.6048284,-14.789165,-14.505382,-12.0096655,-1.205568,-0.8819669,-5.4343247,-6.5101647,-1.0144202,-4.046821,-7.835542,-10.596832,-17.083242,-11.179155,-25.33416,15.257326,402.2491,-7.156305
Clmn,-363.22812,-237.68944,-29.306282,-36.432762,-195.32492,-163.65813,-160.38268,-39.21557,-111.35515,100.98115,103.54221,4.3461084,71.73974,15.771277,-7.794951,22.792646,-44.012196,375.99414,16.623459,-39.64719,3.315561,27.012852,12.054688,-6.026499,-7.6816373,3.6653626,-32.564003,-132.7454,-211.1708,432.19934,720.4994,-18.453615,-170.971,-172.25735
Cntn6,-134.99977,-40.53602,-34.48569,-192.69336,-177.9456,146.59505,131.67468,58.72808,-9.616102,30.678652,76.09477,123.12778,92.24669,141.41937,-8.498466,136.67146,-38.693256,321.10782,275.45837,188.75804,19.077393,28.666212,96.577194,99.94059,-14.147404,77.10511,107.728386,193.89577,459.17828,-379.992,-222.31389,-22.696375,-251.48528,-204.34503
Cntnap4,-258.37415,258.35388,-2.971587,-149.7652,203.7265,-2.338501,306.9502,125.99978,-150.02303,26.446018,150.47604,137.8794,65.22174,163.4566,-6.4310594,-27.296864,90.49425,85.05137,262.79736,253.20868,80.284134,39.038364,149.49597,87.18194,-11.561931,119.989876,139.02393,34.501366,337.77853,-304.86646,-400.6175,-16.241285,-201.51485,-161.65459
Cntnap5b,183.07295,-15.3938875,-26.04409,211.49059,-136.66005,-87.244026,-38.296345,58.25793,176.31958,84.83878,158.23035,105.42071,196.27705,203.23994,-8.222241,71.908165,-12.608773,239.20897,380.68048,270.91187,26.867062,43.28361,112.98318,109.23175,-14.128514,117.13687,75.525635,-136.25854,-254.77325,-369.27365,-390.67056,-22.653196,-243.9339,-198.0969
Cobll1,-335.73718,-63.49391,23.704195,-58.8927,-83.69168,-83.86236,-101.51556,-34.16009,-96.351746,-2.4265554,-33.18388,-69.30398,-37.13186,-59.47733,-1.7227457,37.76178,-17.221472,-41.166714,-63.678238,-72.732124,-14.9270115,-6.377534,-24.961205,-37.55369,-6.4097657,-35.263927,-45.014637,-65.48916,-97.45474,-66.04348,802.1614,11.48009,463.54303,-79.08458
Col19a1,264.9924,-24.895538,-21.563202,-76.58486,-83.140594,209.23982,377.9998,38.144783,1.9057325,-45.744812,-52.095367,-44.243214,-22.767523,-33.967556,-2.9693477,79.84247,-24.62298,-91.12102,-46.338993,13.670914,-16.251303,8.421827,-5.0791006,0.6181733,-6.928169,27.900227,36.852844,-46.373775,122.57364,-185.92856,-250.15218,-11.102558,-120.86612,-97.43758
Col1a1,-23.18721,-13.071114,-1.2374439,-6.2867055,-4.344078,-8.341759,-7.977883,-2.9995341,-2.325793,3.4620175,-3.5330827,-6.479085,-2.2107203,-5.4761996,-0.32258004,-2.6369739,-1.9788495,-0.11307927,-7.269264,-6.3851037,-1.4011405,-1.056095,-3.358942,-3.4858475,-0.36804155,-2.975778,-4.041153,3.1022344,-8.4283495,97.78028,-16.536442,-0.78540665,34.902794,-5.6259
Col6a1,123.91149,184.44821,-1.9140984,-38.954643,56.75589,-52.904472,-33.41904,-6.5086627,175.90651,-11.995352,7.5982475,-31.09944,2.1884434,-31.252129,-1.6798528,-18.867556,-16.758612,-53.590946,-41.11945,-31.782286,-8.724793,-6.7469845,-0.92703557,-8.430099,-3.7271967,-8.019085,0.1679529,-19.670946,-61.561535,-84.7553,-121.06841,-3.8965702,-25.727692,-43.67882
Cort,-32.09833,-18.689095,-2.0170772,-15.067737,36.2156,117.363815,300.5417,38.77871,-14.060651,-9.033246,-13.331107,-17.9118,-11.170236,-15.242101,-0.52487093,-6.9527626,-6.156135,-20.226097,-18.049292,-16.054684,-2.7662401,-1.8441786,-8.065358,-8.612527,-1.2125883,-7.7785015,-10.169778,-13.727622,-23.796467,-32.76641,-46.13566,-1.7586021,-21.378914,-16.446424
Cplx3,-25.224186,85.942665,-1.1606115,-19.520947,-18.879246,236.17923,4.571802,-4.654563,-19.700586,-10.183467,-8.154227,10.319895,-12.976908,-15.594008,-0.98332447,-8.250362,-6.6404676,-21.49331,-21.669912,51.035763,-4.5415874,-3.3998313,-8.616215,-11.023874,37.979176,-6.397151,-11.837893,-12.6968355,-24.18966,-36.380325,-46.31946,-2.3418758,-23.362675,-18.571941
Cpne4,469.11575,-26.746584,0.7805597,141.71513,331.13055,26.686514,-54.327625,52.2163,11.015885,58.000652,81.14857,-3.1342108,82.860466,62.470448,11.924159,-65.0437,133.89409,243.26753,93.4051,1.0719341,56.587093,32.871162,22.215809,16.027836,-13.33685,-5.750984,-56.96329,-139.28033,-234.42061,-329.75494,-457.20956,-13.523353,-218.07031,-174.26407
Cpne6,406.89087,-115.57038,-17.071062,277.81873,80.672905,33.426434,63.228905,6.62168,29.459497,10.126005,121.533806,22.714228,127.71173,54.27727,-5.513774,55.86028,-38.90157,-17.562054,100.34352,-8.812256,11.039834,29.624344,40.553997,38.21078,-11.175481,20.55362,-5.4853215,-110.6012,-186.048,-224.37666,-379.73322,-13.031353,-175.10683,-136.7193
Cpne8,496.83295,-45.947193,-13.654553,-153.57484,131.13765,-50.085133,-52.501186,35.97216,10.154799,135.81938,92.35059,-21.651106,108.09438,6.7131057,11.9954605,-47.587196,-11.91448,-153.84357,53.745724,51.37224,43.245228,26.64717,-4.0204005,52.505356,-12.242603,-1.8883052,-52.283627,-115.26778,-216.32422,-255.6039,-235.35114,42.045635,41.370785,-151.70955
Crh,-3.4358423,-15.029585,1.8497363,-14.540192,-10.434508,190.69324,44.339565,5.3773475,-3.6806507,-6.6621027,18.11596,-10.073345,-0.43852925,7.7594566,-0.7320675,-5.5340943,-4.9965367,-10.588924,-5.9804907,-13.588553,-2.0249598,-0.3317912,11.44253,6.289589,-0.9543833,-1.9266737,-2.4725232,-11.873016,-20.0349,-27.07479,-36.612267,-1.6814723,-17.463007,-13.6944275
Cspg4,-87.464516,-43.615627,3.5745761,-24.157804,-27.605211,-31.206844,-28.839163,-10.790806,-27.383081,-13.597058,-21.904995,-24.374878,-16.421356,-20.930197,-1.185536,-9.572909,-8.46667,-26.886105,-27.86452,-22.901306,-4.9243593,-3.5292392,-11.42207,-12.421736,-1.9258841,-10.442911,-12.787114,-15.8943205,-31.93159,-23.183481,280.90692,-1.2443783,138.80937,-22.851686
Cux2,416.49454,-355.9446,-10.166721,-192.93526,-164.44177,-56.797684,168.54735,15.154831,-13.708675,-37.667664,-20.213331,-12.009417,-16.410528,4.12833,-4.3582816,93.0708,-15.773004,180.06334,76.82248,71.216354,26.32011,30.707394,60.62389,69.3441,-14.072276,72.15546,69.4328,131.2605,-53.80585,-240.37346,-2.60276,-14.711579,-234.959,-148.67963
Cwh43,83.78778,215.48326,-1.8091054,-31.458004,-29.591116,-37.886375,-30.625845,-7.7769356,-14.533689,-18.537394,-28.811289,-27.475557,-19.806997,-20.089912,-1.4255192,-12.72,-10.268788,116.61804,-29.81744,-25.86669,-1.9327767,22.490025,-12.833105,-13.61231,-2.1805763,-13.182491,-12.817423,-24.737701,-41.895973,-61.905045,-65.45249,-3.7040164,-40.5118,-32.99428
Cyp1b1,-5.948219,-4.144724,0.2773942,-1.5181687,2.750965,11.650745,-2.4562702,-0.9542613,-2.3468328,-0.013836908,-1.9540962,-2.0308588,-0.97566897,-1.318374,-0.109759785,-0.91734344,-0.808584,-1.8965961,-1.1621097,-1.5305161,-0.021170866,-0.22071467,1.7254916,-0.7535521,-0.101216935,-0.43226373,-0.3146755,-1.402156,-2.9147067,0.3873791,-5.6115823,25.573652,34.75999,-2.0065422
Dcn,48.783684,-11.787391,-1.4469668,0.06618534,-9.446369,-9.241834,-5.802782,-3.1296432,-7.575464,-4.461451,-5.6187778,-8.549377,-4.2051315,-7.242621,-0.42446768,-3.531956,-2.3829198,-9.876144,-8.215931,1.6397581,-1.5997111,-0.8385212,-2.3497992,-1.8179661,-0.6895409,-2.966723,-1.3338115,-6.6590652,-10.898142,-12.317143,-19.907362,-0.9313508,46.180744,-4.677522
