names,01 IT-ET Glut,02 NP-CT-L6b Glut,03 OB-CR Glut,04 DG-IMN Glut,05 OB-IMN GABA,06 CTX-CGE GABA,07 CTX-MGE GABA,08 CNU-MGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,15 HY Gnrh1 Glut,16 HY MM Glut,17 MH-LH Glut,18 TH Glut,19 MB Glut,20 MB GABA,21 MB Dopa,22 MB-HB Sero,23 P Glut,24 MY Glut,25 Pineal Glut,26 P GABA,27 MY GABA,28 CB GABA,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
2010300C02Rik,906.47754,144.20657,-31.447971,347.4802,99.90355,-191.86153,-172.65665,-51.407204,378.37158,184.58627,42.778313,-96.0752,10.48631,-66.41787,-7.486798,-73.46762,-66.07521,-181.01192,-70.75587,-123.58531,-19.710117,-2.462524,-39.749386,-41.38967,-15.730631,-50.671555,-71.59088,-170.05394,-128.75218,-398.0381,-554.6525,-23.509186,-263.3558,-204.08406
Acsbg1,-183.505,-88.33851,-9.4586735,-44.171093,-48.67099,-49.481228,-52.325733,-18.760218,-47.788773,-21.669895,-39.660675,-44.498055,-31.6428,-37.67921,-1.8387676,-18.212505,-14.944775,-51.46318,-48.40782,-39.15168,-7.6012573,-4.3198004,-20.005775,-21.98421,-3.219969,-10.886655,-23.792053,-34.860077,-52.869675,866.88666,-19.623444,7.959217,-33.190403,-29.436459
Acta2,-10.328257,-4.8300867,-0.530796,-2.7343118,-3.2739508,-3.3739035,-2.4722285,-0.38575146,-2.414903,-0.08031263,-1.45605,-2.5266485,-1.1054051,-2.2257574,-0.16125745,-0.8979695,-0.697369,-3.033716,-1.7635932,-1.5161525,-0.3980577,0.2531624,-0.235286,-0.85940164,-0.26196012,-0.49270085,-0.6681519,-2.2408884,-3.908776,2.0473425,-3.325691,-0.3413364,67.26654,-0.44488588
Acvrl1,-50.09675,-2.9766352,-3.3790772,-15.364316,-17.556019,-19.638344,-17.97419,-6.3613873,73.51813,-0.9077462,-13.453995,-15.859668,-9.382022,-13.439493,-0.7549554,-6.310945,-5.4815526,-15.684937,-18.270088,-15.134508,-3.0977166,-1.3905464,-7.8663216,-8.524226,-1.0707703,-6.6015987,-9.581966,-12.2263775,-20.407942,-25.837555,-38.99585,-1.68481,349.92288,21.545418
Adamts2,-27.884655,-106.01604,-12.749603,-66.74289,-77.29925,-77.69477,-71.526215,-24.00822,-17.723284,-29.541988,-8.316865,-35.58381,88.529236,117.58946,-2.8064594,41.699074,-9.977438,84.28031,54.548977,-27.58521,23.817276,16.60645,97.2743,58.602108,-5.020391,-17.986525,-13.594859,289.98264,-59.71768,-74.51384,192.21683,-7.7280383,-56.995075,-70.492905
Adamtsl1,-135.57343,59.86106,-24.384693,-103.20429,-8.981635,-6.075651,-84.83976,6.4511437,-44.655537,67.86461,-10.214927,-52.7721,-28.645771,-8.269797,-4.7221475,120.82938,-34.886124,-35.118862,31.524317,16.665709,49.985634,7.0689645,19.027348,28.047668,-7.7489204,3.0991306,-1.5797806,32.918556,-91.62644,-198.73196,514.46704,14.470439,-78.83677,-113.42446
Adgrl4,-50.079643,-24.500229,-2.8962567,-12.34483,-10.356313,-15.854269,-14.132172,-5.1956973,-12.566175,-5.762846,-11.380151,-10.804324,-8.438108,-10.6088915,-0.6678821,-5.122493,-4.1904464,-14.309398,-13.165478,-8.1486635,2.9557593,-0.9378408,-3.486598,-4.0571084,-1.0849637,-3.3521974,-6.3991923,-10.026346,-14.883133,-15.776202,-27.879223,-1.423832,399.68283,-8.317437
Aldh1a2,-5.9782004,-0.7985735,-0.3769576,-1.7816073,-0.8414255,-2.127222,-1.5880995,0.17233889,-1.3154248,-0.082218945,-1.0707446,-0.9550247,-0.3628108,-0.75220215,-0.09550819,-0.6191167,-0.5181856,2.0172553,-0.11560255,-1.2379944,-0.058507122,0.074135184,1.7843103,4.718689,-0.15515152,-0.18761033,0.28322062,-0.95215535,-1.0751222,-1.6031998,-2.8420923,-0.07813075,31.142689,0.09130616
Angpt1,-3.5255325,-56.89729,20.476736,-44.838497,-52.64907,47.543343,-57.101585,-15.912294,-52.267403,-8.93479,-15.526947,4.2821574,17.933945,38.331264,15.075432,26.564526,-11.3337345,48.67178,16.098066,-6.6651177,-4.738582,-3.7173576,11.161896,-2.8326335,-4.3404164,-9.058353,-6.0786805,7.2045,77.75283,164.19695,-64.21739,-6.912743,-1.2065122,-62.06171
Ano1,-53.594963,-25.464931,-0.53242546,-13.146086,-12.875951,-10.835154,2.3352814,19.619394,-14.386281,207.9675,15.100373,1.0558504,-5.0168276,1.1416403,0.8421823,-5.0113378,123.84309,-12.874115,-4.4636436,7.2348323,8.462045,-1.1571027,-1.5053314,11.017662,-0.81227815,0.9134247,11.476083,-9.833715,-16.721489,-10.530057,-21.521793,-1.2643465,150.75246,-12.823822
Aqp4,-173.78397,-87.998405,-9.382336,-39.68936,-49.35378,-57.482937,-52.650578,-19.36997,-41.117558,-21.192873,-40.295918,-44.77025,-30.219063,-38.91086,-2.1098514,-17.948336,-14.640559,-45.64044,-45.222538,-39.780014,-6.7191844,-5.705127,-18.547546,-21.36806,-3.178069,-18.923758,-24.52848,-31.361027,-48.988102,843.1429,-21.048172,-4.3049483,-32.416412,-26.994293
Arc,665.117,276.77942,-28.548204,-119.08023,-27.753927,-140.61873,-117.87084,-55.72996,7.086798,19.051361,-89.881905,-102.67763,-62.692722,-103.00755,4.066637,-32.892628,-30.624178,-153.01059,-129.8041,-122.134094,-25.657253,-18.763103,-43.028904,-57.921474,-9.950395,-58.174385,-69.75852,-104.8562,-161.49782,-250.50264,-24.36474,-14.163486,-160.38358,-127.64878
Arhgap12,-447.8726,-214.08992,-0.14293437,27.954891,-39.34873,46.64255,83.677086,83.11056,30.359268,26.546314,119.854614,124.04999,58.64013,111.34556,8.107266,37.536217,11.534538,208.19849,148.0772,129.42719,38.294144,49.148884,96.77375,85.624344,0.15295686,79.67755,125.17497,84.88575,-37.32342,166.10423,-54.378597,5.6899424,-25.001331,191.96625
